recovery_date,predicted_avg_marginal_pp,predicted_sum_marginal_pp,predicted_strength_level,contributing_click_days,primary_click_days,active_events,activity_adjustment_factor,confidence,reason
2026-05-15,2.9592430375033096,41.429402525046335,强,14,05-14 D1；05-13 D2；05-12 D3；05-11 D4,520告白季；超U补贴日；U享礼金；品牌团 5月；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀,1.2,高,按已知点击日的D天边际回补预测；活动：520告白季；超U补贴日；U享礼金；品牌团 5月；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀。
2026-05-16,2.638621845548548,34.302083992131124,正常偏强,13,05-14 D2；05-13 D3；05-12 D4；05-11 D5,520告白季；超U补贴日；U享礼金；品牌团 5月；品牌日 快淘秒杀白马季；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀,1.2,高,按已知点击日的D天边际回补预测；活动：520告白季；超U补贴日；U享礼金；品牌团 5月；品牌日 快淘秒杀白马季；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀。
2026-05-17,2.4241908208941987,29.090289850730386,正常,12,05-14 D3；05-13 D4；05-12 D5；05-11 D6,520告白季；超U补贴日；U享礼金；品牌团 5月；品牌日 快淘秒杀白马季；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀,1.2,高,按已知点击日的D天边际回补预测；活动：520告白季；超U补贴日；U享礼金；品牌团 5月；品牌日 快淘秒杀白马季；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀。
2026-05-18,2.2674283085536584,24.94171139409024,正常,11,05-14 D4；05-13 D5；05-12 D6；05-11 D7,520告白季；超U补贴日；U享礼金；天猫超秒 第二段；品牌团 5月；品牌日 快淘秒杀白马季；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀,1.2,高,按已知点击日的D天边际回补预测；活动：520告白季；超U补贴日；U享礼金；天猫超秒 第二段；品牌团 5月；品牌日 快淘秒杀白马季；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀。
2026-05-19,2.147037057409244,21.470370574092442,正常,10,05-14 D5；05-13 D6；05-12 D7；05-05 D14,520告白季；超U补贴日；U享礼金；天猫超秒 第二段；品牌团 5月；品牌日 快淘秒杀白马季；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀,1.2,高,按已知点击日的D天边际回补预测；活动：520告白季；超U补贴日；U享礼金；天猫超秒 第二段；品牌团 5月；品牌日 快淘秒杀白马季；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀。
2026-05-20,2.0461492221698023,18.41534299952822,正常,9,05-14 D6；05-13 D7；05-06 D14；05-12 D8,520告白季；超U补贴日；U享礼金；品牌团 5月；品牌日 快淘秒杀白马季；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀,1.2,高,按已知点击日的D天边际回补预测；活动：520告白季；超U补贴日；U享礼金；品牌团 5月；品牌日 快淘秒杀白马季；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀。
2026-05-21,1.9668254423686644,15.734603538949315,正常,8,05-14 D7；05-07 D14；05-13 D8；05-12 D9,超U补贴日；U享礼金；品牌团 5月；推广激励 5/21-5/30；预售定金；618抢先购；超级划算；跨店满减；直播间限时秒杀,1.2,高,按已知点击日的D天边际回补预测；活动：超U补贴日；U享礼金；品牌团 5月；推广激励 5/21-5/30；预售定金；618抢先购；超级划算；跨店满减；直播间限时秒杀。
